crawl 1[0.29 seconds used]: {'url': 'http://info.tibet.cn/newzt/yuanzang/yzcg/200505/t20050531_33920.htm', 'anchor_text': u'\u5bf9\u53e3\u652f\u63f4\u897f\u85cf\u7ecf\u6d4e\u5efa\u8bbe\u7684\u4e30\u7855\u6210\u679c', 'value': 3},  [116 urls left in queue]
crawl 13[0.30 seconds used]: {'url': 'http://210.75.203.36/xiaofang/xiaofang/ComplainInde_complainInfo.do?id=22101', 'anchor_text': u'\u7269\u7f8e\u8d85\u5e02\u9676\u7136\u6865\u5e97\u5b58\u5728...\r\n\t\t\t', 'value': 0},  [730 urls left in queue]
crawl 14[0.32 seconds used]: {'url': 'http://210.75.203.36/xiaofang/xiaofang/ComplainInde_complainInfo.do?id=22102', 'anchor_text': u'\u65e0\u5546\u4e1a\u6d88\u9632\u624b\u7eed\r\n\t\t\t', 'value': 0},  [729 urls left in queue]
crawl 15[0.28 seconds used]: {'url': 'http://210.75.203.36/xiaofang/xiaofang/ComplainInde_complainInfo.do?id=22103', 'anchor_text': u'\u706b\u707e\u9690\u60a3\r\n\t\t\t', 'value': 0},  [728 urls left in queue]
crawl 16[0.28 seconds used]: {'url': 'http://210.75.203.36/xiaofang/xiaofang/ComplainInde_complainInfo.do?id=22104', 'anchor_text': u'\u671d\u9633\u533a\u897f\u575d\u6cb3\u5317\u91cc\u5c0f\u533a...\r\n\t\t\t', 'value': 0},  [727 urls left in queue]
crawl 17[0.43 seconds used]: {'url': 'http://search.bjjtgl.gov.cn/questionanswer.jsp', 'anchor_text': u'\u4ea4\u7ba1\u95ee\u7b54', 'value': 0},  [723 urls left in queue]
crawl 18[0.35 seconds used]: {'url': 'http://www.bjjtgl.gov.cn/jgj/94076/index.html', 'anchor_text': u'\u4e13\u5bb6\u5728\u7ebf', 'value': 0},  [760 urls left in queue]
crawl 19[0.22 seconds used]: {'url': 'http://www.huilan.com/zkhl/fwzx/saasfw/index.html', 'anchor_text': u'Saas\u670d\u52a1', 'value': 0},  [864 urls left in queue]
crawl 20[0.23 seconds used]: {'url': 'http://www.huilan.com/zkhl/fwzx/pxfw/index.html', 'anchor_text': u'\u57f9\u8bad\u670d\u52a1', 'value': 0},  [864 urls left in queue]
crawl 21[0.31 seconds used]: {'url': 'http://www.huilan.com/zkhl/fwzx/pxfw/156377/index.html', 'anchor_text': u'\u57f9\u8bad\u670d\u52a1', 'value': 0},  [863 urls left in queue]
crawl 22[0.39 seconds used]: {'url': 'http://www.huilan.com/zkhl/fwzx/ssfw/index.html', 'anchor_text': u'\u5b9e\u65bd\u670d\u52a1', 'value': 0},  [862 urls left in queue]
crawl 23[0.34 seconds used]: {'url': 'http://www.huilan.com/zkhl/fwzx/sjfw/index.html', 'anchor_text': u'\u8bbe\u8ba1\u670d\u52a1', 'value': 0},  [861 urls left in queue]
crawl 24[0.31 seconds used]: {'url': 'http://www.huilan.com/zkhl/fwzx/zxfw/index.html', 'anchor_text': u'\u54a8\u8be2\u670d\u52a1', 'value': 0},  [860 urls left in queue]
crawl 25[0.23 seconds used]: {'url': 'http://www.huilan.com/zkhl/cpfa/cpzx/_134543/_134567/index.html', 'anchor_text': u'\u5fae\u5582\u667a\u80fd\u673a\u5668\u4eba', 'value': 0},  [860 urls left in queue]
crawl 26[0.23 seconds used]: {'url': 'http://www.huilan.com/zkhl/cpfa/cpzx/_134435/_134499/index.html', 'anchor_text': u'\u5927\u6570\u636e\u8206\u60c5\u5206\u6790\u5e73\u53f0', 'value': 0},  [859 urls left in queue]
crawl 27[0.23 seconds used]: {'url': 'http://www.huilan.com/zkhl/cpfa/cpzx/_134435/_134479/index.html', 'anchor_text': u'\u5927\u6570\u636e\u91c7\u96c6\u5e73\u53f0', 'value': 0},  [858 urls left in queue]
crawl 28[0.21 seconds used]: {'url': 'http://www.huilan.com/zkhl/cpfa/cpzx/_134435/_134459/index.html', 'anchor_text': u'GOV360\u4e91\u76d1\u6d4b\u5e73\u53f0', 'value': 0},  [857 urls left in queue]
crawl 29[0.22 seconds used]: {'url': 'http://www.huilan.com/zkhl/cpfa/cpzx/_134351/_134415/index.html', 'anchor_text': u'\u534e\u5c71\u77f3Web\u5e94\u7528\u9632\u706b\u5899\u7cfb\u7edf', 'value': 0},  [856 urls left in queue]
crawl 30[0.24 seconds used]: {'url': 'http://www.huilan.com/zkhl/cpfa/cpzx/_134351/_134395/index.html', 'anchor_text': u'easyWeb\u65e0\u969c\u788d\u7cfb\u7edf', 'value': 0},  [855 urls left in queue]
crawl 31[0.22 seconds used]: {'url': 'http://www.huilan.com/zkhl/cpfa/cpzx/_134351/_134375/index.html', 'anchor_text': u'easyPortal\u5185\u7f51\u95e8\u6237\u7cfb\u7edf', 'value': 0},  [854 urls left in queue]
crawl 32[0.23 seconds used]: {'url': 'http://www.huilan.com/zkhl/cpfa/jjfa/_133083/153624/index.html', 'anchor_text': u'\u4f01\u4e1a\u7f51\u7ad9\u8bbe\u8ba1\u89e3\u51b3\u65b9\u6848', 'value': 0},  [853 urls left in queue]
crawl 33[0.23 seconds used]: {'url': 'http://www.huilan.com/zkhl/cpfa/jjfa/_133083/_133099/index.html', 'anchor_text': u'\u4f01\u4e1a\u65b0\u5a92\u4f53\u8425\u9500\u89e3\u51b3\u65b9\u6848', 'value': 0},  [852 urls left in queue]
crawl 34[0.23 seconds used]: {'url': 'http://www.huilan.com/zkhl/cpfa/jjfa/_133083/_133095/index.html', 'anchor_text': u'\u4f01\u4e1a\u667a\u80fd\u5ba2\u670d\u89e3\u51b3\u65b9\u6848', 'value': 0},  [851 urls left in queue]
crawl 35[0.23 seconds used]: {'url': 'http://www.huilan.com/zkhl/cpfa/jjfa/_133083/_133091/index.html', 'anchor_text': u'\u4f01\u4e1a\u95e8\u6237\u7f51\u7ad9\u89e3\u51b3\u65b9\u6848', 'value': 0},  [850 urls left in queue]
crawl 36[0.22 seconds used]: {'url': 'http://www.huilan.com/zkhl/cpfa/jjfa/_133083/_133087/index.html', 'anchor_text': u'\u5927\u578b\u4f01\u4e1a', 'value': 0},  [849 urls left in queue]
crawl 37[0.23 seconds used]: {'url': 'http://www.huilan.com/zkhl/cpfa/jjfa/_133059/_133079/index.html', 'anchor_text': u'\u91d1\u878d\u7f51\u7ad9\u8bbe\u8ba1\u89e3\u51b3\u65b9\u6848', 'value': 0},  [848 urls left in queue]
crawl 38[0.23 seconds used]: {'url': 'http://www.huilan.com/zkhl/cpfa/jjfa/_133059/_133075/index.html', 'anchor_text': u'\u91d1\u878d\u65b0\u5a92\u4f53\u8425\u9500\u89e3\u51b3\u65b9\u6848', 'value': 0},  [847 urls left in queue]
crawl 39[0.23 seconds used]: {'url': 'http://www.huilan.com/zkhl/cpfa/jjfa/_133059/_133071/index.html', 'anchor_text': u'\u91d1\u878d\u667a\u80fd\u5ba2\u670d\u89e3\u51b3\u65b9\u6848', 'value': 0},  [846 urls left in queue]
crawl 40[0.23 seconds used]: {'url': 'http://www.huilan.com/zkhl/cpfa/jjfa/_133059/_133067/index.html', 'anchor_text': u'\u91d1\u878d\u4f53\u9a8c\u5f0f\u95e8\u6237\u89e3\u51b3\u65b9\u6848', 'value': 0},  [845 urls left in queue]
crawl 41[0.24 seconds used]: {'url': 'http://www.huilan.com/zkhl/cpfa/jjfa/_133059/_133063/index.html', 'anchor_text': u'\u91d1\u878d\u884c\u4e1a', 'value': 0},  [844 urls left in queue]
crawl 42[0.22 seconds used]: {'url': 'http://www.huilan.com/zkhl/cpfa/jjfa/_133031/_133055/index.html', 'anchor_text': u'\u653f\u5e9c\u65b0\u5a92\u4f53\u89e3\u51b3\u65b9\u6848', 'value': 0},  [843 urls left in queue]
crawl 43[0.28 seconds used]: {'url': 'http://www.huilan.com/zkhl/cpfa/jjfa/_133031/_133051/index.html', 'anchor_text': u'\u653f\u5e9c\u7f51\u7ad9\u8fd0\u7ef4\u76d1\u6d4b\u89e3\u51b3\u65b9\u6848', 'value': 0},  [842 urls left in queue]
crawl 44[0.27 seconds used]: {'url': 'http://www.huilan.com/zkhl/cpfa/jjfa/_133031/_133047/index.html', 'anchor_text': u'\u653f\u5e9c\u7f51\u7ad9\u8bbe\u8ba1\u89e3\u51b3\u65b9\u6848', 'value': 0},  [841 urls left in queue]
crawl 45[0.27 seconds used]: {'url': 'http://www.huilan.com/zkhl/cpfa/jjfa/_133031/_133043/index.html', 'anchor_text': u'\u653f\u5e9c\u667a\u80fd\u5ba2\u670d\u89e3\u51b3\u65b9\u6848', 'value': 0},  [840 urls left in queue]
crawl 46[0.26 seconds used]: {'url': 'http://www.huilan.com/zkhl/cpfa/jjfa/_133031/_133039/index.html', 'anchor_text': u'\u653f\u5e9c\u95e8\u6237\u7f51\u7ad9\u89e3\u51b3\u65b9\u6848', 'value': 0},  [839 urls left in queue]
crawl 47[0.42 seconds used]: {'url': 'http://www.huilan.com/zkhl/cpfa/jjfa/_133031/_133035/index.html', 'anchor_text': u'\u89e3\u51b3\u65b9\u6848', 'value': 0},  [838 urls left in queue]
crawl 48[0.22 seconds used]: {'url': 'http://www.huilan.com/zkhl/alzx/_133979/_134100/148187/index.html', 'anchor_text': u'\u4e2d\u56fd\u6c11\u822a\u4fe1\uff1a\u7231\u89c5\u6854\u667a\u80fd\u641c\u7d22\u52a9\u529b\u4e2d\u56fd\u6c11\u822a\u4fe1\u606f\u670d\u52a1', 'value': 0},  [840 urls left in queue]
crawl 49[0.23 seconds used]: {'url': 'http://www.huilan.com/zkhl/alzx/_133979/_134100/145113/index.html', 'anchor_text': u'\u963f\u65af\u5229\u5eb7\uff1a\u56fd\u9645\u5316\u4f01\u4e1a\u7684EIP\u4f01\u4e1a\u4fe1\u606f\u5e73\u53f0', 'value': 0},  [839 urls left in queue]
crawl 50[0.23 seconds used]: {'url': 'http://www.huilan.com/zkhl/alzx/_133979/_134100/145124/index.html', 'anchor_text': u'\u4e2d\u56fd\u5316\u5de5\u62a5\uff1a\u4f20\u7edf\u5a92\u4f53\u7684\u4e92\u8054\u7f51\u5a92\u4f53\u5e73\u53f0', 'value': 0},  [838 urls left in queue]
crawl 51[0.23 seconds used]: {'url': 'http://www.huilan.com/zkhl/alzx/_133979/_134100/145004/index.html', 'anchor_text': u'\u4e2d\u56fd\u7b2c\u4e00\u65c5\u6e38\u7f51\uff1a\u65c5\u6e38\u884c\u4e1a\u5b98\u65b9\u7b2c\u4e00\u95e8\u6237', 'value': 0},  [837 urls left in queue]
crawl 52[0.22 seconds used]: {'url': 'http://www.huilan.com/zkhl/alzx/_133979/_134100/135048/index.html', 'anchor_text': u'\u5927\u8fde\u5546\u54c1\u4ea4\u6613\u6240\uff1a\u5efa\u7acb\u5177\u6709\u56fd\u9645\u5316\u5f71\u54cd\u529b\u7684\u671f\u8d27\u4ea4\u6613\u6240\u54c1\u724c\u7f51\u7ad9', 'value': 0},  [836 urls left in queue]
crawl 53[0.23 seconds used]: {'url': 'http://www.huilan.com/zkhl/alzx/_133979/_134100/135055/index.html', 'anchor_text': u'\u540c\u4ec1\u5802', 'value': 0},  [835 urls left in queue]
crawl 54[0.22 seconds used]: {'url': 'http://www.huilan.com/zkhl/alzx/_133979/_134100/145107/index.html', 'anchor_text': u'\u6d6a\u6f6e\u96c6\u56e2', 'value': 0},  [834 urls left in queue]
crawl 55[0.27 seconds used]: {'url': 'http://www.huilan.com/zkhl/alzx/yxxy/_134076/136760/index.html', 'anchor_text': u'\u4e1c\u839e\u519c\u6751\u5546\u4e1a\u94f6\u884c', 'value': 0},  [832 urls left in queue]
crawl 56[0.26 seconds used]: {'url': 'http://www.huilan.com/zkhl/alzx/yxxy/_134076/150186/index.html', 'anchor_text': u'\u67f3\u5dde\u94f6\u884c\uff1a\u4e00\u7ad9\u5f0f\u7efc\u5408\u91d1\u878d\u670d\u52a1\u5e73\u53f0', 'value': 0},  [831 urls left in queue]
crawl 57[0.23 seconds used]: {'url': 'http://www.huilan.com/zkhl/alzx/_133975/_134051/150848/index.html', 'anchor_text': u'\u4e2d\u534e\u4fdd\u9669', 'value': 0},  [829 urls left in queue]
crawl 58[0.25 seconds used]: {'url': 'http://www.huilan.com/zkhl/alzx/_133975/_134051/145215/index.html', 'anchor_text': u'\u534e\u590f\u4eba\u5bff', 'value': 0},  [828 urls left in queue]
crawl 59[0.22 seconds used]: {'url': 'http://www.huilan.com/zkhl/alzx/zfxy/_134019/146226/index.html', 'anchor_text': u'\u4e2d\u56fd\u6d77\u5173\u603b\u7f72\uff1a\u5f00\u542f\u653f\u5e9c\u7528\u6237\u4f53\u9a8c\u7684\u77e5\u8bc6\u641c\u7d22\u65b0\u65f6\u4ee3', 'value': 0},  [830 urls left in queue]
crawl 60[0.22 seconds used]: {'url': 'http://www.huilan.com/zkhl/alzx/zfxy/_134019/146176/index.html', 'anchor_text': u'\u82cf\u5dde\u5de5\u4e1a\u56ed\u533a\u516c\u79ef\u91d1\u7ba1\u7406\u4e2d\u5fc3\uff1a\u670d\u52a1\u6c11\u751f\u7684\u4e1a\u52a1\u8d44\u6e90\u6574\u5408\u641c\u7d22\u5f15\u64ce', 'value': 0},  [829 urls left in queue]
crawl 61[0.22 seconds used]: {'url': 'http://www.huilan.com/zkhl/alzx/zfxy/_134019/145203/index.html', 'anchor_text': u'\u5317\u4eac\u5e02\u519c\u4e1a\u5c40\uff1a\u63d0\u5347\u670d\u52a1\u578b\u653f\u5e9c\u7f51\u7ad9\u6574\u4f53\u6c34\u5e73', 'value': 0},  [828 urls left in queue]
crawl 62[0.22 seconds used]: {'url': 'http://www.huilan.com/zkhl/alzx/zfxy/_134019/134968/index.html', 'anchor_text': u'\u5e7f\u5dde\u5e02\u653f\u52a1\u95e8\u6237\u7f51\u7ad9\u641c\u7d22', 'value': 0},  [827 urls left in queue]
crawl 63[0.22 seconds used]: {'url': 'http://www.huilan.com/zkhl/alzx/zfxy/_134019/134989/index.html', 'anchor_text': u'\u7ef5\u9633\u5e02\u653f\u5e9c\u7f51\u7ad9\u641c\u7d22\u7cfb\u7edf\uff1a\u6784\u5efa\u201c\u670d\u52a1\u578b\u653f\u5e9c\u201d\u7684\u667a\u80fd\u641c\u7d22\u7cfb\u7edf', 'value': 0},  [826 urls left in queue]
crawl 64[0.22 seconds used]: {'url': 'http://www.huilan.com/zkhl/alzx/zfxy/_134019/135032/index.html', 'anchor_text': u'\u6e29\u5dde\u5e02\u653f\u5e9c\u95e8\u6237\u7f51\u7ad9\u667a\u80fd\u641c\u7d22\u7cfb\u7edf', 'value': 0},  [825 urls left in queue]
crawl 65[0.26 seconds used]: {'url': 'http://www.huilan.com/zkhl/alzx/zfxy/_134019/150638/index.html', 'anchor_text': u'\u5317\u4eac\u5e02\u53f8\u6cd5\u5c40\uff1a\u5185\u3001\u5916\u7f51\u7edf\u4e00\u7684\u95e8\u6237\u7ba1\u7406\u5e73\u53f0', 'value': 0},  [824 urls left in queue]
crawl 66[0.28 seconds used]: {'url': 'http://www.huilan.com/zkhl/alzx/zfxy/_134015/145955/index.html', 'anchor_text': u'\u7389\u6eaa\u57ce\u5e02\u95e8\u6237\uff1a\u65b0\u95fb\u5a92\u4f53\u7efc\u5408\u4fe1\u606f\u670d\u52a1\u5e73\u53f0', 'value': 0},  [825 urls left in queue]
crawl 67[0.23 seconds used]: {'url': 'http://www.huilan.com/zkhl/alzx/zfxy/_134015/145956/index.html', 'anchor_text': u'\u5317\u4eac\u5e02\u519c\u4e1a\u5c40\uff1a\u624b\u673a\u4e0a\u7684\u667a\u6167\u519c\u4e1a', 'value': 0},  [824 urls left in queue]
crawl 68[0.22 seconds used]: {'url': 'http://www.huilan.com/zkhl/alzx/zfxy/_134015/145109/index.html', 'anchor_text': u'\u798f\u5efa\u51fa\u5165\u5883\u68c0\u9a8c\u68c0\u75ab\u5c40\uff1a\u7edf\u4e00\u5e73\u53f0\u4e0b\u7684\u624b\u673aAPP\u5e94\u7528', 'value': 0},  [823 urls left in queue]
crawl 69[0.25 seconds used]: {'url': 'http://www.huilan.com/zkhl/alzx/zfxy/_134011/145985/index.html', 'anchor_text': u'\u5317\u4eac\u5e02\u660c\u5e73\u533a\u653f\u5e9c\uff1a\u57fa\u5c42\u653f\u5e9c\u7684\u65e0\u969c\u788d\u5168\u7f51\u4f53\u9a8c', 'value': 0},  [822 urls left in queue]
crawl 70[0.25 seconds used]: {'url': 'http://www.huilan.com/zkhl/alzx/zfxy/_134007/134895/index.html', 'anchor_text': u'\u5317\u4eac\u5e02\u653f\u52a1\u6570\u636e\u8d44\u6e90\u7f51\uff1a\u5927\u6570\u636e\u65f6\u4ee3\u4e0b\u7684\u653f\u5e9c\u516c\u5171\u4fe1\u606f\u8d44\u6e90\u5f00\u653e\u95e8\u6237', 'value': 0},  [827 urls left in queue]
crawl 71[0.37 seconds used]: {'url': 'http://www.huilan.com/zkhl/alzx/zfxy/_134007/134932/index.html', 'anchor_text': u'\u6210\u90fd\u5e02\u653f\u5e9c\u82f1\u6587\u7f51\u7ad9', 'value': 0},  [826 urls left in queue]
crawl 72[0.24 seconds used]: {'url': 'http://www.huilan.com/zkhl/alzx/zfxy/_134007/134939/index.html', 'anchor_text': u'\u56fd\u5bb6\u5b89\u76d1\u603b\u5c40\u5168\u6d41\u7a0b\u7684\u5728\u7ebf\u8bbf\u8c08\u7cfb\u7edf', 'value': 0},  [826 urls left in queue]
crawl 73[0.17 seconds used]: {'url': 'http://baike.baidu.com/operation/cooperation', 'anchor_text': u'\u767e\u5ea6\u767e\u79d1\u5408\u4f5c\u5e73\u53f0', 'value': 0},  [968 urls left in queue]
crawl 74[1.01 seconds used]: {'url': 'http://tieba.baidu.com/f?kw=%B0%D9%B6%C8%B0%D9%BF%C6', 'anchor_text': u'\u767e\u5ea6\u767e\u79d1\u5427', 'value': 0},  [1199 urls left in queue]
crawl 75[0.11 seconds used]: {'url': 'http://tieba.baidu.com/tb/zt/declare/', 'anchor_text': u'\xe7\xbd\x91\xe7\xbb\x9c\xe8\xb0\xa3\xe8\xa8\x80\xe8\xad\xa6\xe7\xa4\xba', 'value': 0},  [1214 urls left in queue]
crawl 76[0.24 seconds used]: {'url': 'http://static.tieba.baidu.com/tb/eula.html', 'anchor_text': u'\u8d34\u5427\u534f\u8bae', 'value': 0},  [1214 urls left in queue]
crawl 77[0.67 seconds used]: {'url': 'http://uxsurvey.baidu.com/n/index.php/375412/lang-zh', 'anchor_text': u'\r\n    \r\n        \r\n            \r\n            \r\n        \r\n        \r\n            \r\n                \u95ee\u5377\u8c03\u67e5\r\n            \r\n        \r\n    \r\n', 'value': 0},  [1279 urls left in queue]
crawl 78[0.29 seconds used]: {'url': 'http://e.baidu.com', 'anchor_text': u'\u767e\u5ea6\u63a8\u5e7f', 'value': 0},  [1382 urls left in queue]
crawl 79[0.26 seconds used]: {'url': 'http://e.baidu.com/cases#zmqy', 'anchor_text': u'\u77e5\u540d\u4f01\u4e1a', 'value': 0},  [1441 urls left in queue]
crawl 80[0.16 seconds used]: {'url': 'http://e.baidu.com/node/100', 'anchor_text': u'\n   \t\n\t  \u5c71\u4e1c-\u673a\u68b0\u5236\u9020-\u8bf8\u57ce\u5929\u6e90\u673a\u68b0\u5382\n\t  \u8bf8\u57ce\u5929\u6e90\u673a\u68b0\u5382\t\n    \n\n\n\n \u641c\u7d22\u63a8\u5e7f\n\n \u79fb\u52a8\u63a8\u5e7f\n', 'value': 0},  [1441 urls left in queue]
crawl 81[0.15 seconds used]: {'url': 'http://e.baidu.com/node/60', 'anchor_text': u'\u4e00\u573a\u201c\u9f13\u201d\u821e\u4eba\u5fc3\u7684\u4e92\u8054\u7f51\u4e4b\u65c5', 'value': 0},  [1440 urls left in queue]
crawl 82[0.15 seconds used]: {'url': 'http://e.baidu.com/node/103', 'anchor_text': u'\n   \t\n\t  \u5c71\u4e1c-\u62db\u5546\u52a0\u76df-\u70df\u53f0\u7384\u5174\u9910\u996e\u7ba1\u7406\u6709\u9650\u516c\u53f8\n\t  \u70df\u53f0\u7384\u5174\u9910\u996e\u7ba1\u7406\u6709\u9650\u516c\u53f8\t\n    \n\n\n\n \u79fb\u52a8\u63a8\u5e7f\n\n \u589e\u6548\u5de5\u5177\n', 'value': 0},  [1440 urls left in queue]
crawl 83[0.15 seconds used]: {'url': 'http://e.baidu.com/node/63', 'anchor_text': u'\u5317\u4eac-\u6559\u80b2\u57f9\u8bad-\u5c0f\u9a6c\u8fc7\u6cb3\u82f1\u8bed\u57f9\u8bad', 'value': 0},  [1440 urls left in queue]
crawl 84[0.15 seconds used]: {'url': 'http://e.baidu.com/node/65', 'anchor_text': u'\u300a\u5317\u4eac\u60a8\u65e9\u300b\u5f00\u64ad\u300a\u6211\u7684\u521b\u4e1a\u8def\u300b', 'value': 0},  [1439 urls left in queue]
crawl 85[0.14 seconds used]: {'url': 'http://e.baidu.com/node/93', 'anchor_text': u'\n   \t\n\t  \u6c5f\u82cf-\u9910\u996e-\u9547\u6c5f\u91d1\u9f0e\u9910\u996e\n\t  \u9547\u6c5f\u91d1\u9f0e\u9910\u996e\t\n    \n\n\n\n \u79fb\u52a8\u63a8\u5e7f\n\n \u7f51\u76df\u63a8\u5e7f\n', 'value': 0},  [1438 urls left in queue]
crawl 86[0.16 seconds used]: {'url': 'http://e.baidu.com/node/70', 'anchor_text': u'\n   \t\n\t  \u62db\u5b9d\u519c\u5e84\uff1a\u752810\u9897\u5c71\u9e21\u86cb\u501f\u767e\u5ea6\u5b75\u5316\u51fa\u7684\u751f\u6001\u5927\u4ea7\u4e1a\n\t  2014-09-05 \u5934\u6761\u65b0\u95fb\t\n    \n\n\n\n \u641c\u7d22\u63a8\u5e7f\n\n \u79fb\u52a8\u63a8\u5e7f\n', 'value': 0},  [1437 urls left in queue]
crawl 87[0.15 seconds used]: {'url': 'http://e.baidu.com/node/90', 'anchor_text': u'\n   \t\n\t  \u4f20\u7edf\u624b\u827a\u4e5f\u6709\u6548\u76ca \u5c48\u539f\u9f99\u821f\u5382\u4e92\u8054\u63a8\u5e7f\u8ba9\u6587\u5316\u7efd\u653e\u5149\u8292\n\t  \u6e56\u5357\u6c68\u7f57\u5e02\u4e5d\u5b50\u9f99\u5c48\u539f\u9f99\u821f\u5382\t\n    \n\n\n\n \u641c\u7d22\u63a8\u5e7f\n\n \u79fb\u52a8\u63a8\u5e7f\n', 'value': 0},  [1436 urls left in queue]
crawl 88[0.15 seconds used]: {'url': 'http://e.baidu.com/node/92', 'anchor_text': u'\n   \t\n\t  \u6e56\u5357-\u88c5\u4fee-\u957f\u6c99\u6ce5\u5df4\u516c\u793e\n\t  \u957f\u6c99\u6ce5\u5df4\u516c\u793e\t\n    \n\n\n\n \u641c\u7d22\u63a8\u5e7f\n\n \u79fb\u52a8\u63a8\u5e7f\n', 'value': 0},  [1436 urls left in queue]
crawl 89[0.15 seconds used]: {'url': 'http://e.baidu.com/node/68', 'anchor_text': u'\u674e\u5149\u6597\uff1a\u4e92\u8054\u7f51\u65f6\u4ee3\uff0c\u8ba9\u4e16\u754c\u627e\u5230\u4f60\u6bd4\u4f60...', 'value': 0},  [1435 urls left in queue]
crawl 90[0.15 seconds used]: {'url': 'http://e.baidu.com/node/78', 'anchor_text': u'\n   \t\n\t  \u5e2e\u5f20\u7ff0\u81f4\u5bcc\uff1a\u627f\u5305\u9c7c\u5858\u540e\u7684\u4ea7\u54c1\u9500\u8def\n\t  2014-08-18 \u4e92\u8054\u7f51\u6252\u76ae\u738b\t\n    \n\n\n\n \u641c\u7d22\u63a8\u5e7f\n\n \u79fb\u52a8\u63a8\u5e7f\n', 'value': 0},  [1434 urls left in queue]
crawl 91[0.15 seconds used]: {'url': 'http://e.baidu.com/node/75', 'anchor_text': u'\n   \t\n\t  \u7845\u8c37\u5f52\u6765\u7684O2O\u6a21\u5f0f\uff1a\u7f8e\u4e50\u4e50\u5982\u4f55\u501f\u767e\u5ea6\u8fd9\u5f20\u8239\u7968\u8fdc\u822a\n\t  \u7f8e\u4e50\u4e50\u5bb6\u5c45\u7f51\t\n    \n\n\n\n \u641c\u7d22\u63a8\u5e7f\n\n \u79fb\u52a8\u63a8\u5e7f\n', 'value': 0},  [1433 urls left in queue]
